hosts,vms,cloudlets,ga_time,csa_time,fwa_time,woa_time,ga_fitness,csa_fitness,fwa_fitness,woa_fitness,ga_cpu_util,csa_cpu_util,fwa_cpu_util,woa_cpu_util,ga_ram_util,csa_ram_util,fwa_ram_util,woa_ram_util,ga_bw_util,csa_bw_util,fwa_bw_util,woa_bw_util,ga_power,csa_power,fwa_power,woa_power,ga_cpu_mean,csa_cpu_mean,fwa_cpu_mean,woa_cpu_mean,ga_cpu_std,csa_cpu_std,fwa_cpu_std,woa_cpu_std
65,8,15,0.55,0.55,0.55,0.55,0.125000,0.125000,0.125000,0.125000,12600.00,12600.00,12600.00,12600.00,1.71,1.71,1.71,1.71,1.72,1.72,1.72,1.72,17.50,17.50,17.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,8,15,0.55,0.55,0.55,0.55,0.125000,0.125000,0.125000,0.125000,12600.00,12600.00,12600.00,12600.00,1.71,1.71,1.71,1.71,1.72,1.72,1.72,1.72,17.50,17.50,17.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,8,15,0.55,0.55,0.55,0.55,0.125000,0.125000,0.125000,0.125000,12600.00,12600.00,12600.00,12600.00,1.71,1.71,1.71,1.71,1.72,1.72,1.72,1.72,17.50,17.50,17.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,8,15,0.55,0.55,0.55,0.55,0.125000,0.125000,0.125000,0.125000,12600.00,12600.00,12600.00,12600.00,1.71,1.71,1.71,1.71,1.72,1.72,1.72,1.72,17.50,17.50,17.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,8,15,0.55,0.55,0.55,0.55,0.125000,0.125000,0.125000,0.125000,12600.00,12600.00,12600.00,12600.00,1.71,1.71,1.71,1.71,1.72,1.72,1.72,1.72,17.50,17.50,17.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,8,15,0.55,0.55,0.55,0.55,0.125000,0.125000,0.125000,0.125000,12600.00,12600.00,12600.00,12600.00,1.71,1.71,1.71,1.71,1.72,1.72,1.72,1.72,17.50,17.50,17.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,8,15,0.55,0.55,0.55,0.55,0.125000,0.125000,0.125000,0.125000,12600.00,12600.00,12600.00,12600.00,1.71,1.71,1.71,1.71,1.72,1.72,1.72,1.72,17.50,17.50,17.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,8,15,18.45,8.16,14.48,9.43,0.200000,0.200000,0.200000,0.200000,4739.94,8156.72,7266.95,9293.50,0.26,0.30,0.29,0.33,0.26,0.31,0.30,0.34,14.06,14.53,14.30,15.22,22.97,29.47,26.35,35.18,21.53,31.54,29.90,33.18
65,8,15,11.01,10.89,7.45,5.58,0.250000,0.250000,0.250000,0.250000,6384.98,6216.76,6811.95,8299.22,0.29,0.27,0.28,0.35,0.30,0.27,0.29,0.36,14.68,14.57,14.51,15.03,28.31,29.36,32.55,53.74,34.89,31.00,31.72,30.24
65,8,15,9.34,12.86,9.50,16.44,0.200000,0.200000,0.200000,0.200000,7049.66,6121.78,6797.62,4941.33,0.29,0.26,0.27,0.26,0.30,0.27,0.28,0.27,20.12,19.11,19.62,19.53,27.36,24.29,32.53,25.50,33.81,26.41,32.76,23.24
65,8,15,8.51,9.00,10.32,9.88,1.000000,1.000000,1.000000,0.500000,8267.00,7372.87,7079.63,6425.60,0.29,0.30,0.30,1.23,0.30,0.31,0.31,1.24,14.27,14.28,14.49,14.03,25.82,25.53,30.16,18.13,30.93,32.09,29.81,20.12
65,8,15,7.66,8.55,8.39,8.24,1.000000,Infinity,1.000000,1.000000,6924.64,7163.45,8740.41,5839.78,2.26,3.24,2.27,2.24,2.26,3.24,2.27,2.24,14.63,14.37,14.35,13.99,28.37,21.35,18.83,16.85,23.20,20.21,21.40,20.61
65,8,15,26.11,29.04,29.04,13.76,0.001357,0.001364,0.001364,0.001285,2270.22,2040.36,2040.36,4010.47,6.12,7.09,7.09,2.21,6.13,7.11,7.11,2.22,13.78,13.70,13.70,14.28,13.08,11.46,11.46,26.21,6.56,3.28,3.28,17.07
65,8,15,75.72,82.65,82.65,41.80,0.001771,0.001775,0.001775,0.001755,1106.58,927.26,927.26,3338.39,6.12,7.10,7.10,4.14,6.12,7.10,7.10,4.15,18.15,18.13,18.13,18.33,12.86,12.50,12.50,15.54,1.82,0.00,0.00,7.95
65,8,15,15.69,16.72,16.72,14.57,0.001400,0.001407,0.001407,0.001330,4348.92,4100.55,4100.55,5868.58,6.14,7.12,7.12,3.19,6.14,7.12,7.12,3.19,15.03,15.00,15.00,14.35,12.88,12.50,12.50,22.04,1.51,0.00,0.00,22.09
65,8,15,10.79,12.95,12.95,6.32,0.001939,0.001950,0.001950,0.001831,5295.98,4675.78,4675.78,8742.03,6.13,7.11,7.11,3.23,6.13,7.11,7.11,3.23,18.49,18.36,18.36,19.81,13.14,11.46,11.46,26.20,2.79,3.61,3.61,23.18
65,8,15,25.34,25.34,25.34,11.26,0.001917,0.001917,0.001917,0.001694,2876.20,2876.20,2876.20,6422.65,7.11,7.11,7.11,2.22,7.12,7.12,7.12,2.23,18.44,18.44,18.44,19.26,12.50,12.50,12.50,22.56,0.00,0.00,0.00,17.42
